"SIUQ3G_L"	"STHFJP_L"	"S8APX1_L"	"SACBBR_L"	"SIRUBH_L"	"S5MEZA_L"	"SCNXZK_L"	"SC1YIM_L"	"SBWPUY_L"	"SY34ZS_L"	"SUXEKB_L"	"SG3CB2_L"	"SLWUQ2_L"	"SKYQAL_L"	"SQVR9H_L"
"36ade287aeb51307743eadf642b342f1"	0	0	0	0	0	0	0	0	0	5630	0	0	0	0	0
"36fa3f70ce564f3ae68a67e19cb88e9a"	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0
"37035964dbf0080e5308d8a52f398f8c"	0	0	0	0	0	455	0	0	0	93	0	0	0	244	0
"37134db4b7472631bb269e92624a1bc7"	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0
"3721d75ee9958b2b2b9f1a9f6c2d1c84"	0	0	0	0	0	0	262	0	0	0	0	0	1298	0	0
"37684fbc5b54831498d7f86aea76c1ce"	0	0	0	0	0	0	10438	0	0	0	0	0	0	0	0
"37e35fc6aa8e6ac500724e952782423f"	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0
"37e3cc56713bc06cb6f6a5b40639bea3"	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0
"3818fe1efd7bb01db4ec67cfe50c8119"	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0
"3824749b3ab4e204a38fa5b8b20f4cbd"	0	0	0	0	0	0	0	0	0	12742	0	0	0	0	0
"3847a28e9402733790b0d4876a6a127b"	0	1210	0	0	0	0	0	0	0	0	0	0	97	246	0
"387fb81ff453875f42a7fa3efb01594b"	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0
"388c13153e4314cd68eb7e24244f2278"	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0
"39b37d0f8e1e8267cb57f96e9f399ee2"	0	2092	0	0	0	0	0	0	0	0	0	0	0	0	0
"3a281c7784ace8e070773437e3939dfb"	0	293	0	0	0	459	0	0	0	0	0	0	0	0	0
"3a2904629fb10096a285a12ea0ad6a0b"	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0
"3af348fe01bd2a6034fde1e46c075347"	0	0	0	0	0	0	0	0	0	49	0	0	46	0	0
"3b792e576f368150b0bd76d962fd9553"	0	0	0	41	0	0	475726	0	0	0	0	0	0	0	0
"3b908c536b2ead5a068fcc0acabcfdc2"	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0
"3b99a484dd0036ad6d93cf24c3a1c6c3"	201	70	151	0	151	52	51	0	35	166	346	204	36	118	164
"3ba41eb8e4410f18ea5bf47169746c83"	0	0	0	125	2748	0	3718	0	0	0	0	4101	0	3235	0
"3bb17a037caf5b3088586bf5909b9570"	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3bb500b78cb35ef16a4ffba76cd7958e"	0	0	118	209	100	0	0	23017	0	0	0	0	114	0	0
"3bee36a73beb54bd995ea0b9f31f7702"	0	0	0	0	0	4933	0	0	0	0	0	0	0	0	0
"3bfb7606fd9358c2e225ebde85051721"	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0
"3c0e662ddd016ad4294d8421a8accc9c"	0	0	0	0	0	0	541	0	0	0	0	0	0	0	0
"3c2d7cb32c612e55a69cd17c43c32c35"	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0
"3c9e40b51ddf6238762bd3cead8c2d3c"	0	0	0	0	9962	0	0	0	0	0	0	0	0	0	0
"3cb8de22923afa9209bc1e9fa33f4767"	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0
"3cceb8303ecfbb450c428a30127255a4"	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0
"3ce03f7a93680b5b76aabd5c3b9edf96"	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0
"3ce3bfb17b9a8e0ec433425ba690c4a7"	0	0	2251	0	0	0	0	0	0	0	0	0	0	0	0
"3d5575d489930b6ae5c3a0e89a8966b3"	0	4582	315	0	0	508	3858	0	0	0	0	0	0	384	0
"3d6203ed56b1740f080b277b7d7482d3"	0	0	0	0	0	973	0	0	0	0	0	0	0	0	0
"3d68c23f146d7c4506c09514726f8022"	0	0	0	0	0	0	571	0	0	0	0	0	0	0	0
